Parameter.groep,Parameter.code,Parameter.omschrijving,Grootheid.code,Eenheid.code
ChemischeStof,NKj,stikstof Kjeldahl,CONCTTE,mg/l
ChemischeStof,NO2,nitriet,CONCTTE,mg/l
ChemischeStof,NO3,nitraat,CONCTTE,mg/l
ChemischeStof,NPEO1,nonylfenolmonoethoxylaat,CONCTTE,ug/l
ChemischeStof,NPEO2,nonylfenoldiethoxylaat,CONCTTE,ug/l
ChemischeStof,NTA,nitrilotriazijnzuur (NTA),CONCTTE,ug/l
ChemischeStof,Na,natrium,CONCTTE,mg/l
ChemischeStof,Na22,natrium 22,ACTVTCCTTE,mBq/l
ChemischeStof,Naf,naftaleen,CONCTTE,ug/l
ChemischeStof,Nanorg,stikstof anorganisch,CONCTTE,mg/l
ChemischeStof,Ni,nikkel,CONCTTE,ug/l
ChemischeStof,Norg,stikstof organisch,CONCTTE,mg/l
ChemischeStof,Ntot,stikstof totaal,CONCTTE,mg/l
ChemischeStof,O2,zuurstof,CONCTTE,mg/l
ChemischeStof,O2,zuurstof,MASSFTE,%
ChemischeStof,O2,zuurstof,VERZDGGD,%
ChemischeStof,OaDazn,oxadiazon,CONCTTE,ug/l
ChemischeStof,OaDxl,oxadixyl,CONCTTE,ug/l
ChemischeStof,Oaclne,oxacilline,CONCTTE,ug/l
ChemischeStof,Oaml,oxamyl,CONCTTE,ug/l
ChemischeStof,Oasfrn,oxasulfuron,CONCTTE,ug/l
ChemischeStof,Oatapplne,oxathiapiproline,CONCTTE,ug/l
ChemischeStof,OcC1yT4slxn,octamethyltetrasiloxaan,CONCTTE,ug/l
ChemischeStof,OxT4ccne,oxytetracycline,CONCTTE,ug/l
ChemischeStof,PBDE100,"2,2',4,4',6-pentabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE138,"2,2',3,4,4',5'-hexabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE153,"2,2',4,4',5,5'-hexabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE154,"2,2',4,4',5,6'-hexabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE183,"2,2',3,4,4',5',6-heptabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE209,"2,2',3,3',4,4',5,5',6,6'-decabroomdiphenylether",CONCTTE,ug/l
ChemischeStof,PBDE28,"2,4,4'-tribroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE47,"2,2',4,4'-tetrabroomdifenylether",CONCTTE,ug/l
